passenger_count,trip_distance,fare
1.0,1.9,9.8
1.0,1.98,12.8
4.0,1.53,9.3
1.0,0.9,7.3
2.0,3.4,15.3
1.0,9.2,31.799999999999997
1.0,0.9,7.3
5.0,2.85,12.799999999999999
1.0,0.7,6.8
1.0,2.4,10.8
1.0,4.3,15.8
1.0,1.3,10.8
3.0,5.52,20.3
1.0,0.8,5.3
1.0,1.46,8.299999999999999
1.0,0.46,5.3
4.0,3.08,12.3
2.0,2.5,11.3
1.0,2.5,12.3
6.0,2.5,14.3
1.0,2.0,11.3
1.0,2.17,11.8
2.0,0.91,6.8
1.0,1.41,12.3
1.0,1.2,6.8
1.0,2.99,13.799999999999999
1.0,1.48,9.3
1.0,1.28,9.3
1.0,1.97,11.3
2.0,0.78,5.8
1.0,2.1,11.8
1.0,1.13,7.799999999999999
1.0,0.69,6.3
1.0,2.3,12.3
2.0,3.07,15.299999999999999
1.0,2.6,14.3
1.0,2.2,10.8
2.0,4.9,18.3
1.0,4.97,18.3
1.0,2.42,10.299999999999999
1.0,3.12,13.799999999999999
2.0,1.7,8.8
1.0,0.8,8.3
1.0,1.81,9.8
1.0,1.9,9.3
1.0,1.92,9.8
1.0,4.0,15.8
1.0,2.4,11.8
1.0,1.38,7.8
1.0,1.72,8.8
1.0,2.14,10.8
1.0,0.7,5.800000000000001
2.0,0.84,6.3
1.0,0.56,5.3
1.0,1.7,9.8
1.0,0.1,3.8
6.0,2.19,11.299999999999999
1.0,2.49,12.799999999999999
1.0,0.69,5.3
1.0,0.84,6.8
2.0,0.71,5.300000000000001
2.0,1.2,7.799999999999999
1.0,3.07,14.3
1.0,1.13,6.8
1.0,0.65,5.300000000000001
1.0,1.1,7.8
1.0,1.13,6.300000000000001
1.0,0.86,5.8
1.0,5.2,20.8
1.0,1.98,9.8
1.0,4.3,14.8
1.0,2.31,11.3
1.0,1.19,8.8
3.0,6.37,58.559999999999995
2.0,0.6,6.3
1.0,1.32,6.8
1.0,3.7,14.3
1.0,4.28,15.8
1.0,1.07,7.3
1.0,1.5,7.8
3.0,1.21,7.799999999999999
1.0,0.63,5.8
2.0,2.6,14.3
1.0,1.22,9.3
1.0,5.77,19.3
1.0,8.9,33.06
1.0,0.85,5.8
5.0,1.95,9.8
1.0,3.2,15.3
2.0,2.0,9.3
1.0,1.18,7.299999999999999
2.0,0.82,5.8
1.0,2.6,11.8
1.0,9.23,58.56
3.0,0.6,6.3
4.0,1.8,9.3
1.0,3.35,16.3
1.0,12.66,39.8
1.0,0.93,6.8
1.0,9.84,37.06
4.0,0.7,5.8
1.0,3.59,14.3
1.0,1.18,6.8
1.0,3.71,16.3
1.0,3.52,15.3
1.0,0.7,5.8
1.0,1.24,8.3
1.0,12.64,39.3
1.0,1.47,58.56
1.0,1.31,6.8
1.0,2.45,12.799999999999999
1.0,3.21,16.8
1.0,2.7,15.8
1.0,1.2,7.3
5.0,17.36,54.8
1.0,0.79,6.8
1.0,2.63,12.3
1.0,2.0,12.3
2.0,1.3,8.299999999999999
1.0,1.6,12.8
1.0,0.55,4.8
1.0,2.2,12.3
1.0,8.7,35.559999999999995
1.0,0.71,5.8
1.0,10.8,43.56
2.0,1.2,9.3
1.0,1.2,12.3
4.0,3.86,18.3
1.0,5.12,24.8
1.0,1.18,9.3
1.0,1.09,9.8
5.0,0.95,7.8
1.0,3.08,14.8
1.0,9.49,34.56
1.0,14.9,49.06
1.0,3.54,14.3
2.0,0.91,6.8
1.0,3.95,15.3
6.0,1.58,9.8
4.0,1.02,6.8
2.0,18.9,58.56
1.0,1.8,10.8
1.0,0.8,6.3
1.0,1.14,7.3
1.0,10.3,36.8
1.0,0.9,7.3
1.0,1.0,6.3
1.0,6.86,23.8
1.0,2.64,12.799999999999999
1.0,2.21,17.3
1.0,2.03,11.8
1.0,3.6,14.8
1.0,10.8,43.06
1.0,1.4,10.799999999999999
2.0,1.6,9.8
1.0,0.7,6.3
2.0,1.5,8.8
1.0,0.8,7.300000000000001
1.0,1.62,11.8
1.0,1.5,8.8
1.0,1.27,11.8
2.0,2.96,16.299999999999997
1.0,0.9,10.299999999999999
1.0,0.89,8.3
1.0,0.8,6.800000000000001
1.0,6.5,21.299999999999997
1.0,4.6,18.3
1.0,2.72,11.8
1.0,3.2,14.8
2.0,2.9,14.3
2.0,11.26,36.8
2.0,1.41,11.3
1.0,0.51,5.3
6.0,2.22,10.8
1.0,1.0,6.3
3.0,3.12,14.8
1.0,5.7,28.799999999999997
1.0,1.2,12.8
1.0,0.5,6.3
1.0,0.62,5.8
1.0,0.6,5.3
1.0,18.13,52.8
1.0,1.2,7.3
1.0,2.42,11.8
1.0,8.39,35.56
1.0,2.65,16.8
1.0,1.57,9.3
3.0,0.68,6.8
1.0,3.08,17.3
1.0,0.5,5.800000000000001
1.0,2.1,14.8
2.0,2.52,14.3
1.0,1.8,13.299999999999999
1.0,0.7,8.8
1.0,1.19,7.8
2.0,1.3,8.3
1.0,1.7,10.3
1.0,1.2,9.3
2.0,1.8,10.299999999999999
1.0,5.88,21.8
1.0,1.6,9.3
2.0,1.1,6.800000000000001
3.0,1.56,9.3
4.0,2.5,12.3
2.0,2.29,10.8
1.0,1.0,6.8
1.0,1.3,8.299999999999999
1.0,13.2,48.56
5.0,1.04,9.8
1.0,0.4,4.8
1.0,1.6,10.3
1.0,0.7,6.8
1.0,1.37,7.800000000000001
1.0,1.4,9.8
2.0,1.51,13.3
1.0,1.5,8.8
1.0,2.1,13.3
1.0,4.1,19.299999999999997
2.0,1.7,11.8
1.0,0.65,7.3
4.0,0.72,6.8
1.0,1.68,9.8
2.0,1.5,12.3
1.0,4.14,15.299999999999999
3.0,1.36,9.8
3.0,0.56,5.3
1.0,2.87,15.3
2.0,1.5,8.3
3.0,1.42,8.8
1.0,2.82,11.3
3.0,3.21,17.8
1.0,0.6,5.8
1.0,1.41,8.3
1.0,1.4,8.8
1.0,3.81,15.8
1.0,1.89,9.8
3.0,0.66,5.8
1.0,3.6,13.8
1.0,6.6,26.560000000000002
1.0,0.87,6.3
1.0,1.3,8.8
2.0,4.7,15.8
1.0,1.3,8.8
1.0,2.0,10.8
1.0,8.8,35.56
1.0,0.24,4.3
3.0,2.25,9.8
1.0,4.24,15.8
2.0,2.29,12.3
1.0,4.3,29.8
1.0,1.1,7.800000000000001
1.0,0.52,5.3
1.0,1.16,9.8
1.0,4.0,17.3
1.0,1.59,8.8
2.0,1.83,10.3
1.0,3.16,13.8
1.0,2.02,15.3
1.0,2.7,12.8
1.0,0.7,5.3
1.0,1.4,8.8
1.0,1.7,8.8
5.0,1.04,6.8
1.0,1.2,9.8
1.0,0.56,4.8
1.0,0.9,6.3
2.0,2.57,12.3
1.0,0.29,4.3
2.0,1.01,7.8
2.0,0.83,6.3
1.0,1.4,9.8
1.0,2.29,10.3
1.0,0.94,7.3
1.0,1.76,10.8
1.0,18.44,57.98
2.0,1.1,6.800000000000001
1.0,0.92,7.799999999999999
1.0,2.81,12.3
2.0,0.91,8.8
1.0,5.3,19.8
1.0,1.6,9.799999999999999
1.0,1.5,8.3
1.0,3.94,19.3
1.0,2.42,13.3
1.0,1.1,7.8
1.0,3.7,15.799999999999999
5.0,14.88,42.3
1.0,2.0,8.8
1.0,4.2,15.3
1.0,1.45,8.799999999999999
1.0,15.5,54.06
1.0,0.43,5.3
1.0,0.57,5.8
5.0,2.8,10.8
1.0,12.45,43.56
1.0,0.6,6.8
3.0,0.79,7.800000000000001
1.0,0.7,6.300000000000001
1.0,2.42,12.8
3.0,0.97,6.8
1.0,2.01,11.3
1.0,1.4,7.8
2.0,0.4,4.8
3.0,0.77,6.8
2.0,2.33,12.8
1.0,1.0,8.3
3.0,0.95,8.8
1.0,0.7,7.800000000000001
3.0,0.65,6.3
1.0,0.75,7.8
4.0,1.07,7.8
2.0,2.17,11.3
1.0,4.2,16.799999999999997
6.0,1.47,9.3
1.0,2.0,10.299999999999999
2.0,1.6,8.8
1.0,3.4,13.3
1.0,1.8,9.8
1.0,0.95,7.799999999999999
1.0,2.8,11.8
1.0,1.1,9.8
1.0,0.73,7.799999999999999
2.0,1.4,12.8
1.0,0.96,6.8
1.0,2.0,12.3
1.0,5.62,20.8
1.0,2.1,13.8
1.0,0.52,5.8
1.0,1.8,10.3
5.0,0.42,5.300000000000001
3.0,2.7,14.3
1.0,0.53,5.300000000000001
2.0,2.58,15.3
2.0,0.64,5.300000000000001
1.0,2.1,12.8
5.0,1.73,17.3
1.0,1.1,10.8
6.0,1.1,8.3
1.0,1.1,9.3
1.0,1.2,9.3
1.0,0.6,7.3
2.0,2.1,10.3
1.0,1.4,8.8
1.0,9.98,34.3
1.0,5.22,16.8
1.0,5.74,22.3
1.0,8.57,33.06
2.0,5.3,19.3
6.0,2.28,11.3
1.0,5.9,20.799999999999997
1.0,2.25,9.799999999999999
1.0,1.0,7.3
1.0,1.93,11.3
1.0,1.7,9.3
2.0,1.4,10.3
1.0,3.71,17.3
1.0,2.3,14.3
1.0,1.7,9.3
1.0,2.08,11.8
1.0,1.8,13.3
3.0,1.29,9.8
1.0,1.08,9.3
5.0,1.47,8.3
2.0,0.62,5.8
2.0,16.1,52.800000000000004
1.0,1.1,11.3
1.0,0.8,9.3
1.0,1.06,8.3
3.0,1.02,7.299999999999999
1.0,7.53,29.56
1.0,1.31,10.8
1.0,3.97,22.3
1.0,0.87,7.3
1.0,1.12,6.8
1.0,1.2,8.3
1.0,0.7,6.3
1.0,2.02,10.3
1.0,0.68,6.3
2.0,0.5,5.3
5.0,1.26,6.8
1.0,1.8,10.3
1.0,10.82,37.56
1.0,7.39,24.3
1.0,1.35,8.3
1.0,1.86,11.8
1.0,1.46,11.8
